"asciiname","population","location"
"AElmhult",9495,"https://www.google.com/maps/?q=56.55146,14.13827"
"Saltsjoebaden",9477,"https://www.google.com/maps/?q=59.28333,18.3"
"Amal",9373,"https://www.google.com/maps/?q=59.051,12.70492"
"Kaevlinge",9320,"https://www.google.com/maps/?q=55.79188,13.11021"
"Alta",9274,"https://www.google.com/maps/?q=59.26667,18.18333"
"Astorp",9215,"https://www.google.com/maps/?q=56.13566,12.9443"
"Saeffle",9150,"https://www.google.com/maps/?q=59.13229,12.92888"
"Arloev",9108,"https://www.google.com/maps/?q=55.63248,13.07141"
"Sigtuna",9074,"https://www.google.com/maps/?q=59.61731,17.72361"
"Soelvesborg",8972,"https://www.google.com/maps/?q=56.05205,14.57525"
"Torshaella",8928,"https://www.google.com/maps/?q=59.41667,16.46667"
"Djursholm",8856,"https://www.google.com/maps/?q=59.39926,18.05619"
"Landvetter",8839,"https://www.google.com/maps/?q=57.68665,12.21169"
"Kvissleby",8785,"https://www.google.com/maps/?q=62.29361,17.375"
"Alvesta",8627,"https://www.google.com/maps/?q=56.89935,14.55559"
"Lycksele",8545,"https://www.google.com/maps/?q=64.59537,18.67351"
"Bankeryd",8506,"https://www.google.com/maps/?q=57.86021,14.124"
"Klippan",8411,"https://www.google.com/maps/?q=56.13559,13.13086"
"Tibro",8396,"https://www.google.com/maps/?q=58.42453,14.16162"
"Bro",8266,"https://www.google.com/maps/?q=59.51667,17.63333"
"Tidaholm",8175,"https://www.google.com/maps/?q=58.18035,13.95824"
"Akalla",8153,"https://www.google.com/maps/?q=59.41465,17.91398"
"Hallsberg",8146,"https://www.google.com/maps/?q=59.06463,15.10993"
"Fisksaetra",8117,"https://www.google.com/maps/?q=59.29153,18.2549"
"Skurup",8040,"https://www.google.com/maps/?q=55.47839,13.50186"
"Vimmerby",8037,"https://www.google.com/maps/?q=57.66588,15.85515"
"Gardsten",8025,"https://www.google.com/maps/?q=57.8048,12.02883"
"Brevik",8024,"https://www.google.com/maps/?q=59.35,18.2"
"Knivsta",7977,"https://www.google.com/maps/?q=59.72564,17.78753"
"Hammarkullen",7914,"https://www.google.com/maps/?q=57.78049,12.03604"
"Sjoebo",7910,"https://www.google.com/maps/?q=55.63135,13.70622"
"Bromoella",7854,"https://www.google.com/maps/?q=56.07551,14.46958"
"Habo",7740,"https://www.google.com/maps/?q=57.91185,14.07444"
"Lysekil",7734,"https://www.google.com/maps/?q=58.27429,11.43576"
"Kil",7627,"https://www.google.com/maps/?q=59.50234,13.31277"
"Osby",7554,"https://www.google.com/maps/?q=56.38165,13.99364"
"Olofstroem",7526,"https://www.google.com/maps/?q=56.2773,14.53402"
"Fittja",7500,"https://www.google.com/maps/?q=59.24868,17.85991"
"Kalix",7495,"https://www.google.com/maps/?q=65.85298,23.15645"
"Hoerby",7459,"https://www.google.com/maps/?q=55.85238,13.66094"
"Soederkoeping",7418,"https://www.google.com/maps/?q=58.48057,16.32221"
"Solleftea",7399,"https://www.google.com/maps/?q=63.16667,17.26667"
"Hedemora",7371,"https://www.google.com/maps/?q=60.27973,15.98855"
"Nykvarn",7327,"https://www.google.com/maps/?q=59.17718,17.4323"
"Bergshamra",7300,"https://www.google.com/maps/?q=59.38083,18.03427"
"Ljusdal",7259,"https://www.google.com/maps/?q=61.82883,16.09126"
"Degerfors",7190,"https://www.google.com/maps/?q=59.23797,14.43077"
"Stroemstad",7176,"https://www.google.com/maps/?q=58.93945,11.1712"
"Valbo",7147,"https://www.google.com/maps/?q=60.65,17.03333"
"Loevgaerdet",7113,"https://www.google.com/maps/?q=57.81555,12.03861"
"Skanoer med Falsterbo",7077,"https://www.google.com/maps/?q=55.4,12.85"
"Atvidaberg",7014,"https://www.google.com/maps/?q=58.20152,15.9977"
"Aby",6917,"https://www.google.com/maps/?q=58.66667,16.18333"
"Tomelilla",6826,"https://www.google.com/maps/?q=55.54293,13.9546"
"Kallered",6784,"https://www.google.com/maps/?q=57.60992,12.05106"
"Simrishamn",6779,"https://www.google.com/maps/?q=55.55653,14.35037"
"Ljungsbro",6763,"https://www.google.com/maps/?q=58.51667,15.5"
"Haparanda",6679,"https://www.google.com/maps/?q=65.83549,24.13676"
"Nora",6597,"https://www.google.com/maps/?q=59.51926,15.03979"
"Flen",6594,"https://www.google.com/maps/?q=59.05834,16.58781"
"Kramfors",6582,"https://www.google.com/maps/?q=62.93161,17.77646"
"Laholm",6527,"https://www.google.com/maps/?q=56.51207,13.04371"
"Vellinge",6496,"https://www.google.com/maps/?q=55.47124,13.01971"
"Loeddekoepinge",6481,"https://www.google.com/maps/?q=55.76667,13.01667"
"Forshaga",6361,"https://www.google.com/maps/?q=59.52541,13.48127"
"Storvreta",6340,"https://www.google.com/maps/?q=59.95933,17.70588"
"Soedra Sandby",6306,"https://www.google.com/maps/?q=55.71677,13.34659"
"Dalby",6302,"https://www.google.com/maps/?q=55.66655,13.34976"
"Skutskaer",6279,"https://www.google.com/maps/?q=60.62507,17.41552"
"Surahammar",6270,"https://www.google.com/maps/?q=59.70725,16.22188"
"Hjo",6203,"https://www.google.com/maps/?q=58.30133,14.28784"
"Filipstad",6119,"https://www.google.com/maps/?q=59.71236,14.16831"
"Leksand",6107,"https://www.google.com/maps/?q=60.7303,14.99994"
"Hofors",6090,"https://www.google.com/maps/?q=60.54573,16.28668"
"Asa",6084,"https://www.google.com/maps/?q=57.35,12.11667"
"Jaerna",6038,"https://www.google.com/maps/?q=59.09165,17.56615"
"Nykvarn",6032,"https://www.google.com/maps/?q=59.8,18.3"
"Grabo",6021,"https://www.google.com/maps/?q=57.83625,12.29954"
"Malmberget",6017,"https://www.google.com/maps/?q=67.17529,20.65495"
"Surte",6003,"https://www.google.com/maps/?q=57.82533,12.01604"
"Holmsund",5962,"https://www.google.com/maps/?q=63.70602,20.36409"
"Akarp",5959,"https://www.google.com/maps/?q=55.65396,13.11107"
"Sodra Sandby",5941,"https://www.google.com/maps/?q=56.56667,16.61667"
"Rydebaeck",5904,"https://www.google.com/maps/?q=55.96667,12.76667"
"Kungsoer",5885,"https://www.google.com/maps/?q=59.42245,16.09656"
"Perstorp",5847,"https://www.google.com/maps/?q=56.13829,13.39476"
"Vi",5841,"https://www.google.com/maps/?q=62.43333,17.41667"
"Trosa",5836,"https://www.google.com/maps/?q=58.89621,17.54812"
"Tierp",5826,"https://www.google.com/maps/?q=60.34269,17.51812"
"Gnesta",5772,"https://www.google.com/maps/?q=59.04751,17.31191"
"Lindsdal",5709,"https://www.google.com/maps/?q=56.73333,16.3"
"Vadstena",5674,"https://www.google.com/maps/?q=58.44863,14.88969"
"Faerjestaden",5645,"https://www.google.com/maps/?q=56.6499,16.46859"
"Mullsjoe",5584,"https://www.google.com/maps/?q=57.9171,13.87831"
"Hultsfred",5510,"https://www.google.com/maps/?q=57.48815,15.84357"
"Skare",5444,"https://www.google.com/maps/?q=59.43333,13.43333"
"Fristad",5409,"https://www.google.com/maps/?q=57.82483,13.01064"
"Akarp",5393,"https://www.google.com/maps/?q=58.23333,13.65"
"Vargarda",5384,"https://www.google.com/maps/?q=58.03706,12.80907"
"Saevsjoe",5374,"https://www.google.com/maps/?q=57.40327,14.66244"
"Orsa",5349,"https://www.google.com/maps/?q=61.12034,14.6155"
"Hoenoe",5293,"https://www.google.com/maps/?q=57.68972,11.64972"
"Smedjebacken",5258,"https://www.google.com/maps/?q=60.14181,15.41416"
"OEdakra",5231,"https://www.google.com/maps/?q=56.10412,12.7477"
"OErkelljunga",5193,"https://www.google.com/maps/?q=56.28338,13.27773"
"Skare",5173,"https://www.google.com/maps/?q=55.38333,13.05"
"Raettvik",5160,"https://www.google.com/maps/?q=60.88632,15.11787"
"Bastad",5146,"https://www.google.com/maps/?q=56.42689,12.85339"
"Vaggeryd",5122,"https://www.google.com/maps/?q=57.49807,14.14842"
"Anderstorp",5076,"https://www.google.com/maps/?q=57.28333,13.63333"
"Malmslaett",5074,"https://www.google.com/maps/?q=58.41102,15.51647"
"Krokek",5053,"https://www.google.com/maps/?q=58.67231,16.36741"
"Grums",5040,"https://www.google.com/maps/?q=59.35141,13.11105"
"Goetene",5027,"https://www.google.com/maps/?q=58.52824,13.49458"
"Sunne",5026,"https://www.google.com/maps/?q=59.83764,13.14302"
