date,city,count
13-03-2020,kolkata,0
14-03-2020,kolkata,0
15-03-2020,kolkata,0
16-03-2020,kolkata,0
17-03-2020,kolkata,0
18-03-2020,kolkata,1
19-03-2020,kolkata,0
20-03-2020,kolkata,0
21-03-2020,kolkata,0
22-03-2020,kolkata,1
23-03-2020,kolkata,3
24-03-2020,kolkata,0
25-03-2020,kolkata,2
26-03-2020,kolkata,0
27-03-2020,kolkata,0
28-03-2020,kolkata,0
29-03-2020,kolkata,0
30-03-2020,kolkata,1
31-03-2020,kolkata,1
01-04-2020,kolkata,0
02-04-2020,kolkata,0
03-04-2020,kolkata,0
04-04-2020,kolkata,0
05-04-2020,kolkata,0
06-04-2020,kolkata,0
07-04-2020,kolkata,0
08-04-2020,kolkata,0
09-04-2020,kolkata,0
10-04-2020,kolkata,0
11-04-2020,kolkata,0
12-04-2020,kolkata,0
13-04-2020,kolkata,0
14-04-2020,kolkata,0
15-04-2020,kolkata,0
16-04-2020,kolkata,0
17-04-2020,kolkata,0
18-04-2020,kolkata,0
19-04-2020,kolkata,0
30-01-2020,surat,0
02-02-2020,surat,0
03-02-2020,surat,0
02-03-2020,surat,0
03-03-2020,surat,0
04-03-2020,surat,0
05-03-2020,surat,0
06-03-2020,surat,0
07-03-2020,surat,0
08-03-2020,surat,0
09-03-2020,surat,0
10-03-2020,surat,0
11-03-2020,surat,0
12-03-2020,surat,0
13-03-2020,surat,0
14-03-2020,surat,0
15-03-2020,surat,0
16-03-2020,surat,0
17-03-2020,surat,0
18-03-2020,surat,0
19-03-2020,surat,0
20-03-2020,surat,1
21-03-2020,surat,0
22-03-2020,surat,2
23-03-2020,surat,0
24-03-2020,surat,1
25-03-2020,surat,1
26-03-2020,surat,2
27-03-2020,surat,1
28-03-2020,surat,0
29-03-2020,surat,0
30-03-2020,surat,1
31-03-2020,surat,0
01-04-2020,surat,1
02-04-2020,surat,2
03-04-2020,surat,0
04-04-2020,surat,0
05-04-2020,surat,1
06-04-2020,surat,3
07-04-2020,surat,3
08-04-2020,surat,3
09-04-2020,surat,1
10-04-2020,surat,1
11-04-2020,surat,3
12-04-2020,surat,1
13-04-2020,surat,0
14-04-2020,surat,5
15-04-2020,surat,9
16-04-2020,surat,9
17-04-2020,surat,37
18-04-2020,surat,52
19-04-2020,surat,13
30-01-2020,pune,0
02-02-2020,pune,0
03-02-2020,pune,0
02-03-2020,pune,0
03-03-2020,pune,0
04-03-2020,pune,0
05-03-2020,pune,0
06-03-2020,pune,0
07-03-2020,pune,0
08-03-2020,pune,0
09-03-2020,pune,0
10-03-2020,pune,2
11-03-2020,pune,3
12-03-2020,pune,3
13-03-2020,pune,1
14-03-2020,pune,1
15-03-2020,pune,0
16-03-2020,pune,4
17-03-2020,pune,0
18-03-2020,pune,1
19-03-2020,pune,1
20-03-2020,pune,0
21-03-2020,pune,2
22-03-2020,pune,2
23-03-2020,pune,4
24-03-2020,pune,0
25-03-2020,pune,3
26-03-2020,pune,0
27-03-2020,pune,0
28-03-2020,pune,1
29-03-2020,pune,0
30-03-2020,pune,4
31-03-2020,pune,6
01-04-2020,pune,5
02-04-2020,pune,2
03-04-2020,pune,11
04-04-2020,pune,9
05-04-2020,pune,12
06-04-2020,pune,18
07-04-2020,pune,41
08-04-2020,pune,10
09-04-2020,pune,38
10-04-2020,pune,17
11-04-2020,pune,42
12-04-2020,pune,9
13-04-2020,pune,6
14-04-2020,pune,45
15-04-2020,pune,43
16-04-2020,pune,56
17-04-2020,pune,66
18-04-2020,pune,31
19-04-2020,pune,87
30-01-2020,jaipur,0
02-02-2020,jaipur,0
03-02-2020,jaipur,0
02-03-2020,jaipur,0
03-03-2020,jaipur,0
04-03-2020,jaipur,0
05-03-2020,jaipur,0
06-03-2020,jaipur,0
07-03-2020,jaipur,0
08-03-2020,jaipur,0
09-03-2020,jaipur,0
10-03-2020,jaipur,0
11-03-2020,jaipur,1
12-03-2020,jaipur,0
13-03-2020,jaipur,0
14-03-2020,jaipur,0
15-03-2020,jaipur,1
16-03-2020,jaipur,0
17-03-2020,jaipur,0
18-03-2020,jaipur,0
19-03-2020,jaipur,0
20-03-2020,jaipur,2
21-03-2020,jaipur,2
22-03-2020,jaipur,0
23-03-2020,jaipur,0
24-03-2020,jaipur,0
25-03-2020,jaipur,0
26-03-2020,jaipur,0
27-03-2020,jaipur,1
28-03-2020,jaipur,1
29-03-2020,jaipur,0
30-03-2020,jaipur,0
31-03-2020,jaipur,10
01-04-2020,jaipur,1
02-04-2020,jaipur,13
03-04-2020,jaipur,7
04-04-2020,jaipur,14
05-04-2020,jaipur,0
06-04-2020,jaipur,39
07-04-2020,jaipur,8
08-04-2020,jaipur,6
09-04-2020,jaipur,23
10-04-2020,jaipur,39
11-04-2020,jaipur,53
12-04-2020,jaipur,80
13-04-2020,jaipur,40
14-04-2020,jaipur,29
15-04-2020,jaipur,83
16-04-2020,jaipur,30
17-04-2020,jaipur,3
18-04-2020,jaipur,8
19-04-2020,jaipur,25
30-01-2020,kanpur,0
02-02-2020,kanpur,0
03-02-2020,kanpur,0
02-03-2020,kanpur,0
03-03-2020,kanpur,0
04-03-2020,kanpur,0
05-03-2020,kanpur,0
06-03-2020,kanpur,0
07-03-2020,kanpur,0
08-03-2020,kanpur,0
09-03-2020,kanpur,0
10-03-2020,kanpur,0
11-03-2020,kanpur,0
12-03-2020,kanpur,0
13-03-2020,kanpur,0
14-03-2020,kanpur,0
15-03-2020,kanpur,0
16-03-2020,kanpur,0
17-03-2020,kanpur,0
18-03-2020,kanpur,0
19-03-2020,kanpur,0
20-03-2020,kanpur,0
21-03-2020,kanpur,0
22-03-2020,kanpur,0
23-03-2020,kanpur,0
24-03-2020,kanpur,1
25-03-2020,kanpur,0
26-03-2020,kanpur,0
27-03-2020,kanpur,0
28-03-2020,kanpur,0
29-03-2020,kanpur,0
30-03-2020,kanpur,0
31-03-2020,kanpur,0
01-04-2020,kanpur,0
02-04-2020,kanpur,0
03-04-2020,kanpur,0
04-04-2020,kanpur,6
05-04-2020,kanpur,0
06-04-2020,kanpur,0
07-04-2020,kanpur,1
08-04-2020,kanpur,0
09-04-2020,kanpur,0
